"","from","to","bars_overLap","width","title"
"514","IA","TN",278,2.78,"278 days shared in 2020"
"515","IA","TX",173,1.73,"173 days shared in 2020"
"516","IA","UT",264,2.64,"264 days shared in 2020"
"517","IA","VA",272,2.72,"272 days shared in 2020"
"518","IA","VT",236,2.36,"236 days shared in 2020"
"519","IA","WA",219,2.19,"219 days shared in 2020"
"520","IA","WI",55,0.55,"55 days shared in 2020"
"521","IA","WV",226,2.26,"226 days shared in 2020"
"522","IA","WY",277,2.77,"277 days shared in 2020"
"523","ID","IL",217,2.17,"217 days shared in 2020"
"524","ID","IN",204,2.04,"204 days shared in 2020"
"525","ID","KS",2,0.02,"2 days shared in 2020"
"526","ID","KY",173,1.73,"173 days shared in 2020"
"527","ID","LA",176,1.76,"176 days shared in 2020"
"528","ID","MA",75,0.75,"75 days shared in 2020"
"529","ID","MD",213,2.13,"213 days shared in 2020"
"530","ID","ME",206,2.06,"206 days shared in 2020"
"531","ID","MI",205,2.05,"205 days shared in 2020"
"532","ID","MN",246,2.46,"246 days shared in 2020"
"533","ID","MO",25,0.25,"25 days shared in 2020"
"534","ID","MS",223,2.23,"223 days shared in 2020"
"535","ID","MT",221,2.21,"221 days shared in 2020"
"536","ID","NC",159,1.59,"159 days shared in 2020"
"537","ID","ND",51,0.51,"51 days shared in 2020"
"538","ID","NE",179,1.79,"179 days shared in 2020"
"539","ID","NH",201,2.01,"201 days shared in 2020"
"540","ID","NJ",206,2.06,"206 days shared in 2020"
"541","ID","NM",1,0.01,"1 days shared in 2020"
"542","ID","NV",260,2.6,"260 days shared in 2020"
"543","ID","NY",210,2.1,"210 days shared in 2020"
"544","ID","OH",216,2.16,"216 days shared in 2020"
"545","ID","OK",226,2.26,"226 days shared in 2020"
"546","ID","OR",203,2.03,"203 days shared in 2020"
"547","ID","PA",45,0.45,"45 days shared in 2020"
"548","ID","RI",218,2.18,"218 days shared in 2020"
"549","ID","SC",219,2.19,"219 days shared in 2020"
"550","ID","SD",10,0.1,"10 days shared in 2020"
"551","ID","TN",222,2.22,"222 days shared in 2020"
"552","ID","TX",111,1.11,"111 days shared in 2020"
"553","ID","UT",219,2.19,"219 days shared in 2020"
"554","ID","VA",225,2.25,"225 days shared in 2020"
"555","ID","VT",168,1.68,"168 days shared in 2020"
"556","ID","WA",276,2.76,"276 days shared in 2020"
"557","ID","WI",1,0.01,"1 days shared in 2020"
"558","ID","WV",281,2.81,"281 days shared in 2020"
"559","ID","WY",220,2.2,"220 days shared in 2020"
"560","IL","IN",278,2.78,"278 days shared in 2020"
"561","IL","KS",58,0.58,"58 days shared in 2020"
"562","IL","KY",247,2.47,"247 days shared in 2020"
"563","IL","LA",109,1.09,"109 days shared in 2020"
"564","IL","MA",1,0.01,"1 days shared in 2020"
"565","IL","MD",287,2.87,"287 days shared in 2020"
"566","IL","ME",276,2.76,"276 days shared in 2020"
"567","IL","MI",279,2.79,"279 days shared in 2020"
"568","IL","MN",179,1.79,"179 days shared in 2020"
"569","IL","MO",61,0.61,"61 days shared in 2020"
"570","IL","MS",274,2.74,"274 days shared in 2020"
"571","IL","MT",263,2.63,"263 days shared in 2020"
"572","IL","NC",92,0.92,"92 days shared in 2020"
"573","IL","ND",89,0.89,"89 days shared in 2020"
"574","IL","NE",228,2.28,"228 days shared in 2020"
"575","IL","NH",275,2.75,"275 days shared in 2020"
"576","IL","NJ",270,2.7,"270 days shared in 2020"
"577","IL","NM",72,0.72,"72 days shared in 2020"
"578","IL","NV",232,2.32,"232 days shared in 2020"
"579","IL","NY",284,2.84,"284 days shared in 2020"
"580","IL","OH",277,2.77,"277 days shared in 2020"
"581","IL","OK",269,2.69,"269 days shared in 2020"
"582","IL","OR",262,2.62,"262 days shared in 2020"
"583","IL","PA",113,1.13,"113 days shared in 2020"
"584","IL","RI",271,2.71,"271 days shared in 2020"
"585","IL","SC",265,2.65,"265 days shared in 2020"
"586","IL","SD",1,0.01,"1 days shared in 2020"
"587","IL","TN",276,2.76,"276 days shared in 2020"
"588","IL","TX",171,1.71,"171 days shared in 2020"
"589","IL","UT",262,2.62,"262 days shared in 2020"
"590","IL","VA",270,2.7,"270 days shared in 2020"
"591","IL","VT",235,2.35,"235 days shared in 2020"
"592","IL","WA",218,2.18,"218 days shared in 2020"
"593","IL","WI",55,0.55,"55 days shared in 2020"
"594","IL","WV",224,2.24,"224 days shared in 2020"
"595","IL","WY",275,2.75,"275 days shared in 2020"
"596","IN","KS",58,0.58,"58 days shared in 2020"
"597","IN","KY",261,2.61,"261 days shared in 2020"
"598","IN","LA",102,1.02,"102 days shared in 2020"
"599","IN","MA",1,0.01,"1 days shared in 2020"
"600","IN","MD",283,2.83,"283 days shared in 2020"
"601","IN","ME",290,2.9,"290 days shared in 2020"
"602","IN","MI",285,2.85,"285 days shared in 2020"
"603","IN","MN",176,1.76,"176 days shared in 2020"
"604","IN","MO",47,0.47,"47 days shared in 2020"
"605","IN","MS",266,2.66,"266 days shared in 2020"
"606","IN","MT",249,2.49,"249 days shared in 2020"
"607","IN","NC",92,0.92,"92 days shared in 2020"
"608","IN","ND",89,0.89,"89 days shared in 2020"
"609","IN","NE",220,2.2,"220 days shared in 2020"
"610","IN","NH",289,2.89,"289 days shared in 2020"
"611","IN","NJ",284,2.84,"284 days shared in 2020"
"612","IN","NM",86,0.86,"86 days shared in 2020"
"613","IN","NV",218,2.18,"218 days shared in 2020"
"614","IN","NY",286,2.86,"286 days shared in 2020"
"615","IN","OH",263,2.63,"263 days shared in 2020"
"616","IN","OK",255,2.55,"255 days shared in 2020"
"617","IN","OR",248,2.48,"248 days shared in 2020"
"618","IN","PA",113,1.13,"113 days shared in 2020"
"619","IN","RI",257,2.57,"257 days shared in 2020"
"620","IN","SC",251,2.51,"251 days shared in 2020"
"621","IN","SD",1,0.01,"1 days shared in 2020"
"622","IN","TN",262,2.62,"262 days shared in 2020"
"623","IN","TX",157,1.57,"157 days shared in 2020"
"624","IN","UT",248,2.48,"248 days shared in 2020"
"625","IN","VA",256,2.56,"256 days shared in 2020"
"626","IN","VT",221,2.21,"221 days shared in 2020"
"627","IN","WA",204,2.04,"204 days shared in 2020"
"628","IN","WI",55,0.55,"55 days shared in 2020"
"629","IN","WV",210,2.1,"210 days shared in 2020"
"630","IN","WY",261,2.61,"261 days shared in 2020"
"631","KS","KY",58,0.58,"58 days shared in 2020"
"632","KS","LA",2,0.02,"2 days shared in 2020"
"633","KS","MA",2,0.02,"2 days shared in 2020"
"634","KS","MD",58,0.58,"58 days shared in 2020"
"635","KS","ME",59,0.59,"59 days shared in 2020"
"636","KS","MI",61,0.61,"61 days shared in 2020"
"637","KS","MN",2,0.02,"2 days shared in 2020"
"638","KS","MO",236,2.36,"236 days shared in 2020"
"639","KS","MS",64,0.64,"64 days shared in 2020"
"640","KS","MT",37,0.37,"37 days shared in 2020"
"641","KS","NC",2,0.02,"2 days shared in 2020"
"642","KS","ND",208,2.08,"208 days shared in 2020"
"643","KS","NE",102,1.02,"102 days shared in 2020"
"644","KS","NH",58,0.58,"58 days shared in 2020"
"645","KS","NJ",59,0.59,"59 days shared in 2020"
"646","KS","NM",60,0.6,"60 days shared in 2020"
"647","KS","NV",19,0.19,"19 days shared in 2020"
"648","KS","NY",58,0.58,"58 days shared in 2020"
"649","KS","OH",46,0.46,"46 days shared in 2020"
"650","KS","OK",48,0.48,"48 days shared in 2020"
"651","KS","OR",48,0.48,"48 days shared in 2020"
"652","KS","PA",59,0.59,"59 days shared in 2020"
"653","KS","RI",42,0.42,"42 days shared in 2020"
"654","KS","SC",37,0.37,"37 days shared in 2020"
"655","KS","SD",222,2.22,"222 days shared in 2020"
"656","KS","TN",57,0.57,"57 days shared in 2020"
"657","KS","TX",55,0.55,"55 days shared in 2020"
"658","KS","UT",34,0.34,"34 days shared in 2020"
"659","KS","VA",48,0.48,"48 days shared in 2020"
"660","KS","VT",54,0.54,"54 days shared in 2020"
"661","KS","WA",1,0.01,"1 days shared in 2020"
"662","KS","WI",265,2.65,"265 days shared in 2020"
"663","KS","WV",2,0.02,"2 days shared in 2020"
"664","KS","WY",48,0.48,"48 days shared in 2020"
"665","KY","LA",85,0.85,"85 days shared in 2020"
"666","KY","MA",15,0.15,"15 days shared in 2020"
"667","KY","MD",252,2.52,"252 days shared in 2020"
"668","KY","ME",259,2.59,"259 days shared in 2020"
"669","KY","MI",254,2.54,"254 days shared in 2020"
"670","KY","MN",145,1.45,"145 days shared in 2020"
"671","KY","MO",43,0.43,"43 days shared in 2020"
"672","KY","MS",235,2.35,"235 days shared in 2020"
"673","KY","MT",218,2.18,"218 days shared in 2020"
"674","KY","NC",106,1.06,"106 days shared in 2020"
"675","KY","ND",89,0.89,"89 days shared in 2020"
"676","KY","NE",189,1.89,"189 days shared in 2020"
"677","KY","NH",264,2.64,"264 days shared in 2020"
"678","KY","NJ",259,2.59,"259 days shared in 2020"
"679","KY","NM",115,1.15,"115 days shared in 2020"
"680","KY","NV",191,1.91,"191 days shared in 2020"
"681","KY","NY",255,2.55,"255 days shared in 2020"
"682","KY","OH",232,2.32,"232 days shared in 2020"
"683","KY","OK",224,2.24,"224 days shared in 2020"
"684","KY","OR",217,2.17,"217 days shared in 2020"
"685","KY","PA",96,0.96,"96 days shared in 2020"
"686","KY","RI",226,2.26,"226 days shared in 2020"
"687","KY","SC",220,2.2,"220 days shared in 2020"
"688","KY","SD",1,0.01,"1 days shared in 2020"
"689","KY","TN",231,2.31,"231 days shared in 2020"
"690","KY","TX",146,1.46,"146 days shared in 2020"
"691","KY","UT",217,2.17,"217 days shared in 2020"
"692","KY","VA",225,2.25,"225 days shared in 2020"
"693","KY","VT",190,1.9,"190 days shared in 2020"
"694","KY","WA",173,1.73,"173 days shared in 2020"
"695","KY","WI",55,0.55,"55 days shared in 2020"
"696","KY","WV",179,1.79,"179 days shared in 2020"
"697","KY","WY",230,2.3,"230 days shared in 2020"
"698","LA","MA",75,0.75,"75 days shared in 2020"
"699","LA","MD",109,1.09,"109 days shared in 2020"
"700","LA","ME",103,1.03,"103 days shared in 2020"
"701","LA","MI",106,1.06,"106 days shared in 2020"
"702","LA","MN",168,1.68,"168 days shared in 2020"
"703","LA","MO",13,0.13,"13 days shared in 2020"
"704","LA","MS",110,1.1,"110 days shared in 2020"
"705","LA","MT",110,1.1,"110 days shared in 2020"
"706","LA","NC",152,1.52,"152 days shared in 2020"
"707","LA","ND",41,0.41,"41 days shared in 2020"
"708","LA","NE",97,0.97,"97 days shared in 2020"
"709","LA","NH",99,0.99,"99 days shared in 2020"
"710","LA","NJ",100,1,"100 days shared in 2020"
"711","LA","NM",18,0.18,"18 days shared in 2020"
"712","LA","NV",166,1.66,"166 days shared in 2020"
"713","LA","NY",108,1.08,"108 days shared in 2020"
"714","LA","OH",108,1.08,"108 days shared in 2020"
"715","LA","OK",110,1.1,"110 days shared in 2020"
"716","LA","OR",109,1.09,"109 days shared in 2020"
"717","LA","PA",139,1.39,"139 days shared in 2020"
"718","LA","RI",110,1.1,"110 days shared in 2020"
"719","LA","SC",110,1.1,"110 days shared in 2020"
"720","LA","SD",2,0.02,"2 days shared in 2020"
"721","LA","TN",108,1.08,"108 days shared in 2020"
"722","LA","TX",186,1.86,"186 days shared in 2020"
"723","LA","UT",110,1.1,"110 days shared in 2020"
"724","LA","VA",110,1.1,"110 days shared in 2020"
"725","LA","VT",74,0.74,"74 days shared in 2020"
"726","LA","WA",176,1.76,"176 days shared in 2020"
"727","LA","WI",4,0.04,"4 days shared in 2020"
"728","LA","WV",173,1.73,"173 days shared in 2020"
"729","LA","WY",110,1.1,"110 days shared in 2020"
"730","MA","MD",1,0.01,"1 days shared in 2020"
"731","MA","ME",3,0.03,"3 days shared in 2020"
"732","MA","MI",1,0.01,"1 days shared in 2020"
"733","MA","MN",79,0.79,"79 days shared in 2020"
"734","MA","MO",8,0.08,"8 days shared in 2020"
"735","MA","MS",9,0.09,"9 days shared in 2020"
"736","MA","MT",5,0.05,"5 days shared in 2020"
"737","MA","NC",194,1.94,"194 days shared in 2020"
"738","MA","ND",5,0.05,"5 days shared in 2020"
"739","MA","NE",9,0.09,"9 days shared in 2020"
"740","MA","NH",1,0.01,"1 days shared in 2020"
"741","MA","NJ",6,0.06,"6 days shared in 2020"
"742","MA","NM",156,1.56,"156 days shared in 2020"
"743","MA","NV",51,0.51,"51 days shared in 2020"
"744","MA","NY",1,0.01,"1 days shared in 2020"
"745","MA","OH",0,0,"0 days shared in 2020"
"746","MA","OK",9,0.09,"9 days shared in 2020"
"747","MA","OR",2,0.02,"2 days shared in 2020"
"748","MA","PA",4,0.04,"4 days shared in 2020"
"749","MA","RI",2,0.02,"2 days shared in 2020"
"750","MA","SC",3,0.03,"3 days shared in 2020"
"751","MA","SD",9,0.09,"9 days shared in 2020"
"752","MA","TN",8,0.08,"8 days shared in 2020"
"753","MA","TX",5,0.05,"5 days shared in 2020"
"754","MA","UT",3,0.03,"3 days shared in 2020"
"755","MA","VA",9,0.09,"9 days shared in 2020"
"756","MA","VT",1,0.01,"1 days shared in 2020"
"757","MA","WA",61,0.61,"61 days shared in 2020"
"758","MA","WI",1,0.01,"1 days shared in 2020"
"759","MA","WV",66,0.66,"66 days shared in 2020"
"760","MA","WY",4,0.04,"4 days shared in 2020"
"761","MD","ME",281,2.81,"281 days shared in 2020"
"762","MD","MI",284,2.84,"284 days shared in 2020"
"763","MD","MN",179,1.79,"179 days shared in 2020"
"764","MD","MO",56,0.56,"56 days shared in 2020"
"765","MD","MS",275,2.75,"275 days shared in 2020"
"766","MD","MT",258,2.58,"258 days shared in 2020"
"767","MD","NC",92,0.92,"92 days shared in 2020"
"768","MD","ND",89,0.89,"89 days shared in 2020"
"769","MD","NE",229,2.29,"229 days shared in 2020"
"770","MD","NH",280,2.8,"280 days shared in 2020"
"771","MD","NJ",275,2.75,"275 days shared in 2020"
"772","MD","NM",77,0.77,"77 days shared in 2020"
"773","MD","NV",227,2.27,"227 days shared in 2020"
"774","MD","NY",289,2.89,"289 days shared in 2020"
"775","MD","OH",272,2.72,"272 days shared in 2020"
"776","MD","OK",264,2.64,"264 days shared in 2020"
"777","MD","OR",257,2.57,"257 days shared in 2020"
"778","MD","PA",118,1.18,"118 days shared in 2020"
"779","MD","RI",266,2.66,"266 days shared in 2020"
"780","MD","SC",260,2.6,"260 days shared in 2020"
"781","MD","SD",1,0.01,"1 days shared in 2020"
"782","MD","TN",271,2.71,"271 days shared in 2020"
"783","MD","TX",166,1.66,"166 days shared in 2020"
"784","MD","UT",257,2.57,"257 days shared in 2020"
"785","MD","VA",265,2.65,"265 days shared in 2020"
"786","MD","VT",230,2.3,"230 days shared in 2020"
"787","MD","WA",213,2.13,"213 days shared in 2020"
"788","MD","WI",55,0.55,"55 days shared in 2020"
"789","MD","WV",219,2.19,"219 days shared in 2020"
"790","MD","WY",270,2.7,"270 days shared in 2020"
"791","ME","MI",283,2.83,"283 days shared in 2020"
"792","ME","MN",177,1.77,"177 days shared in 2020"
"793","ME","MO",49,0.49,"49 days shared in 2020"
"794","ME","MS",268,2.68,"268 days shared in 2020"
"795","ME","MT",251,2.51,"251 days shared in 2020"
"796","ME","NC",93,0.93,"93 days shared in 2020"
"797","ME","ND",91,0.91,"91 days shared in 2020"
"798","ME","NE",222,2.22,"222 days shared in 2020"
"799","ME","NH",287,2.87,"287 days shared in 2020"
"800","ME","NJ",286,2.86,"286 days shared in 2020"
"801","ME","NM",86,0.86,"86 days shared in 2020"
"802","ME","NV",220,2.2,"220 days shared in 2020"
"803","ME","NY",284,2.84,"284 days shared in 2020"
"804","ME","OH",261,2.61,"261 days shared in 2020"
"805","ME","OK",257,2.57,"257 days shared in 2020"
"806","ME","OR",248,2.48,"248 days shared in 2020"
"807","ME","PA",115,1.15,"115 days shared in 2020"
"808","ME","RI",257,2.57,"257 days shared in 2020"
"809","ME","SC",253,2.53,"253 days shared in 2020"
"810","ME","SD",3,0.03,"3 days shared in 2020"
"811","ME","TN",264,2.64,"264 days shared in 2020"
"812","ME","TX",159,1.59,"159 days shared in 2020"
"813","ME","UT",250,2.5,"250 days shared in 2020"
"814","ME","VA",258,2.58,"258 days shared in 2020"
"815","ME","VT",220,2.2,"220 days shared in 2020"
"816","ME","WA",204,2.04,"204 days shared in 2020"
"817","ME","WI",55,0.55,"55 days shared in 2020"
"818","ME","WV",212,2.12,"212 days shared in 2020"
"819","ME","WY",263,2.63,"263 days shared in 2020"
"820","MI","MN",176,1.76,"176 days shared in 2020"
"821","MI","MO",54,0.54,"54 days shared in 2020"
"822","MI","MS",267,2.67,"267 days shared in 2020"
"823","MI","MT",250,2.5,"250 days shared in 2020"
"824","MI","NC",89,0.89,"89 days shared in 2020"
"825","MI","ND",92,0.92,"92 days shared in 2020"
"826","MI","NE",227,2.27,"227 days shared in 2020"
"827","MI","NH",282,2.82,"282 days shared in 2020"
"828","MI","NJ",277,2.77,"277 days shared in 2020"
"829","MI","NM",82,0.82,"82 days shared in 2020"
"830","MI","NV",219,2.19,"219 days shared in 2020"
"831","MI","NY",287,2.87,"287 days shared in 2020"
"832","MI","OH",264,2.64,"264 days shared in 2020"
"833","MI","OK",256,2.56,"256 days shared in 2020"
"834","MI","OR",249,2.49,"249 days shared in 2020"
"835","MI","PA",117,1.17,"117 days shared in 2020"
"836","MI","RI",258,2.58,"258 days shared in 2020"
"837","MI","SC",252,2.52,"252 days shared in 2020"
"838","MI","SD",4,0.04,"4 days shared in 2020"
"839","MI","TN",263,2.63,"263 days shared in 2020"
"840","MI","TX",161,1.61,"161 days shared in 2020"
"841","MI","UT",249,2.49,"249 days shared in 2020"
"842","MI","VA",257,2.57,"257 days shared in 2020"
"843","MI","VT",222,2.22,"222 days shared in 2020"
"844","MI","WA",205,2.05,"205 days shared in 2020"
"845","MI","WI",58,0.58,"58 days shared in 2020"
"846","MI","WV",211,2.11,"211 days shared in 2020"
"847","MI","WY",262,2.62,"262 days shared in 2020"
"848","MN","MO",9,0.09,"9 days shared in 2020"
"849","MN","MS",180,1.8,"180 days shared in 2020"
"850","MN","MT",180,1.8,"180 days shared in 2020"
"851","MN","NC",149,1.49,"149 days shared in 2020"
"852","MN","ND",20,0.2,"20 days shared in 2020"
"853","MN","NE",135,1.35,"135 days shared in 2020"
"854","MN","NH",173,1.73,"173 days shared in 2020"
"855","MN","NJ",174,1.74,"174 days shared in 2020"
"856","MN","NM",1,0.01,"1 days shared in 2020"
"857","MN","NV",224,2.24,"224 days shared in 2020"
"858","MN","NY",179,1.79,"179 days shared in 2020"
"859","MN","OH",178,1.78,"178 days shared in 2020"
"860","MN","OK",180,1.8,"180 days shared in 2020"
"861","MN","OR",191,1.91,"191 days shared in 2020"
"862","MN","PA",67,0.67,"67 days shared in 2020"
"863","MN","RI",180,1.8,"180 days shared in 2020"
"864","MN","SC",180,1.8,"180 days shared in 2020"
"865","MN","SD",2,0.02,"2 days shared in 2020"
"866","MN","TN",178,1.78,"178 days shared in 2020"
"867","MN","TX",70,0.7,"70 days shared in 2020"
"868","MN","UT",180,1.8,"180 days shared in 2020"
"869","MN","VA",180,1.8,"180 days shared in 2020"
"870","MN","VT",186,1.86,"186 days shared in 2020"
"871","MN","WA",246,2.46,"246 days shared in 2020"
"872","MN","WI",4,0.04,"4 days shared in 2020"
"873","MN","WV",243,2.43,"243 days shared in 2020"
"874","MN","WY",180,1.8,"180 days shared in 2020"
"875","MO","MS",57,0.57,"57 days shared in 2020"
"876","MO","MT",90,0.9,"90 days shared in 2020"
"877","MO","NC",2,0.02,"2 days shared in 2020"
"878","MO","ND",215,2.15,"215 days shared in 2020"
"879","MO","NE",101,1.01,"101 days shared in 2020"
"880","MO","NH",44,0.44,"44 days shared in 2020"
"881","MO","NJ",49,0.49,"49 days shared in 2020"
"882","MO","NM",43,0.43,"43 days shared in 2020"
"883","MO","NV",23,0.23,"23 days shared in 2020"
"884","MO","NY",53,0.53,"53 days shared in 2020"
"885","MO","OH",74,0.74,"74 days shared in 2020"
"886","MO","OK",80,0.8,"80 days shared in 2020"
"887","MO","OR",76,0.76,"76 days shared in 2020"
"888","MO","PA",57,0.57,"57 days shared in 2020"
"889","MO","RI",82,0.82,"82 days shared in 2020"
"890","MO","SC",88,0.88,"88 days shared in 2020"
"891","MO","SD",207,2.07,"207 days shared in 2020"
"892","MO","TN",77,0.77,"77 days shared in 2020"
"893","MO","TX",72,0.72,"72 days shared in 2020"
"894","MO","UT",85,0.85,"85 days shared in 2020"
"895","MO","VA",81,0.81,"81 days shared in 2020"
"896","MO","VT",68,0.68,"68 days shared in 2020"
"897","MO","WA",25,0.25,"25 days shared in 2020"
"898","MO","WI",242,2.42,"242 days shared in 2020"
"899","MO","WV",25,0.25,"25 days shared in 2020"
"900","MO","WY",78,0.78,"78 days shared in 2020"
"901","MS","MT",253,2.53,"253 days shared in 2020"
"902","MS","NC",93,0.93,"93 days shared in 2020"
"903","MS","ND",82,0.82,"82 days shared in 2020"
"904","MS","NE",239,2.39,"239 days shared in 2020"
"905","MS","NH",263,2.63,"263 days shared in 2020"
"906","MS","NJ",268,2.68,"268 days shared in 2020"
"907","MS","NM",63,0.63,"63 days shared in 2020"
"908","MS","NV",233,2.33,"233 days shared in 2020"
"909","MS","NY",272,2.72,"272 days shared in 2020"
"910","MS","OH",259,2.59,"259 days shared in 2020"
"911","MS","OK",268,2.68,"268 days shared in 2020"
"912","MS","OR",246,2.46,"246 days shared in 2020"
"913","MS","PA",107,1.07,"107 days shared in 2020"
"914","MS","RI",255,2.55,"255 days shared in 2020"
"915","MS","SC",251,2.51,"251 days shared in 2020"
"916","MS","SD",9,0.09,"9 days shared in 2020"
"917","MS","TN",272,2.72,"272 days shared in 2020"
"918","MS","TX",161,1.61,"161 days shared in 2020"
"919","MS","UT",248,2.48,"248 days shared in 2020"
"920","MS","VA",268,2.68,"268 days shared in 2020"
"921","MS","VT",218,2.18,"218 days shared in 2020"
"922","MS","WA",215,2.15,"215 days shared in 2020"
"923","MS","WI",44,0.44,"44 days shared in 2020"
"924","MS","WV",217,2.17,"217 days shared in 2020"
"925","MS","WY",263,2.63,"263 days shared in 2020"
"926","MT","NC",93,0.93,"93 days shared in 2020"
"927","MT","ND",111,1.11,"111 days shared in 2020"
"928","MT","NE",207,2.07,"207 days shared in 2020"
"929","MT","NH",246,2.46,"246 days shared in 2020"
"930","MT","NJ",249,2.49,"249 days shared in 2020"
"931","MT","NM",46,0.46,"46 days shared in 2020"
"932","MT","NV",216,2.16,"216 days shared in 2020"
"933","MT","NY",255,2.55,"255 days shared in 2020"
"934","MT","OH",276,2.76,"276 days shared in 2020"
"935","MT","OK",276,2.76,"276 days shared in 2020"
"936","MT","OR",263,2.63,"263 days shared in 2020"
"937","MT","PA",90,0.9,"90 days shared in 2020"
"938","MT","RI",284,2.84,"284 days shared in 2020"
"939","MT","SC",290,2.9,"290 days shared in 2020"
"940","MT","SD",5,0.05,"5 days shared in 2020"
"941","MT","TN",269,2.69,"269 days shared in 2020"
"942","MT","TX",164,1.64,"164 days shared in 2020"
"943","MT","UT",287,2.87,"287 days shared in 2020"
"944","MT","VA",277,2.77,"277 days shared in 2020"
"945","MT","VT",221,2.21,"221 days shared in 2020"
"946","MT","WA",224,2.24,"224 days shared in 2020"
"947","MT","WI",46,0.46,"46 days shared in 2020"
"948","MT","WV",227,2.27,"227 days shared in 2020"
"949","MT","WY",280,2.8,"280 days shared in 2020"
"950","NC","ND",48,0.48,"48 days shared in 2020"
"951","NC","NE",66,0.66,"66 days shared in 2020"
"952","NC","NH",92,0.92,"92 days shared in 2020"
"953","NC","NJ",93,0.93,"93 days shared in 2020"
"954","NC","NM",65,0.65,"65 days shared in 2020"
"955","NC","NV",143,1.43,"143 days shared in 2020"
"956","NC","NY",92,0.92,"92 days shared in 2020"
"957","NC","OH",91,0.91,"91 days shared in 2020"
"958","NC","OK",93,0.93,"93 days shared in 2020"
"959","NC","OR",78,0.78,"78 days shared in 2020"
"960","NC","PA",2,0.02,"2 days shared in 2020"
"961","NC","RI",93,0.93,"93 days shared in 2020"
"962","NC","SC",93,0.93,"93 days shared in 2020"
"963","NC","SD",2,0.02,"2 days shared in 2020"
"964","NC","TN",91,0.91,"91 days shared in 2020"
"965","NC","TX",81,0.81,"81 days shared in 2020"
"966","NC","UT",93,0.93,"93 days shared in 2020"
"967","NC","VA",93,0.93,"93 days shared in 2020"
"968","NC","VT",43,0.43,"43 days shared in 2020"
"969","NC","WA",159,1.59,"159 days shared in 2020"
"970","NC","WI",4,0.04,"4 days shared in 2020"
"971","NC","WV",156,1.56,"156 days shared in 2020"
"972","NC","WY",93,0.93,"93 days shared in 2020"
"973","ND","NE",110,1.1,"110 days shared in 2020"
"974","ND","NH",89,0.89,"89 days shared in 2020"
"975","ND","NJ",92,0.92,"92 days shared in 2020"
"976","ND","NM",43,0.43,"43 days shared in 2020"
"977","ND","NV",51,0.51,"51 days shared in 2020"
"978","ND","NY",89,0.89,"89 days shared in 2020"
"979","ND","OH",95,0.95,"95 days shared in 2020"
"980","ND","OK",95,0.95,"95 days shared in 2020"
"981","ND","OR",82,0.82,"82 days shared in 2020"
"982","ND","PA",46,0.46,"46 days shared in 2020"
"983","ND","RI",103,1.03,"103 days shared in 2020"
"984","ND","SC",109,1.09,"109 days shared in 2020"
"985","ND","SD",183,1.83,"183 days shared in 2020"
"986","ND","TN",88,0.88,"88 days shared in 2020"
"987","ND","TX",93,0.93,"93 days shared in 2020"
"988","ND","UT",112,1.12,"112 days shared in 2020"
"989","ND","VA",96,0.96,"96 days shared in 2020"
"990","ND","VT",43,0.43,"43 days shared in 2020"
"991","ND","WA",47,0.47,"47 days shared in 2020"
"992","ND","WI",221,2.21,"221 days shared in 2020"
"993","ND","WV",53,0.53,"53 days shared in 2020"
"994","ND","WY",99,0.99,"99 days shared in 2020"
"995","NE","NH",217,2.17,"217 days shared in 2020"
"996","NE","NJ",222,2.22,"222 days shared in 2020"
"997","NE","NM",62,0.62,"62 days shared in 2020"
"998","NE","NV",188,1.88,"188 days shared in 2020"
"999","NE","NY",226,2.26,"226 days shared in 2020"
"1000","NE","OH",213,2.13,"213 days shared in 2020"
"1001","NE","OK",223,2.23,"223 days shared in 2020"
"1002","NE","OR",200,2,"200 days shared in 2020"
"1003","NE","PA",106,1.06,"106 days shared in 2020"
"1004","NE","RI",209,2.09,"209 days shared in 2020"
"1005","NE","SC",205,2.05,"205 days shared in 2020"
"1006","NE","SD",62,0.62,"62 days shared in 2020"
"1007","NE","TN",230,2.3,"230 days shared in 2020"
"1008","NE","TX",145,1.45,"145 days shared in 2020"
"1009","NE","UT",202,2.02,"202 days shared in 2020"
"1010","NE","VA",222,2.22,"222 days shared in 2020"
"1011","NE","VT",180,1.8,"180 days shared in 2020"
"1012","NE","WA",170,1.7,"170 days shared in 2020"
"1013","NE","WI",88,0.88,"88 days shared in 2020"
"1014","NE","WV",172,1.72,"172 days shared in 2020"
"1015","NE","WY",217,2.17,"217 days shared in 2020"
"1016","NH","NJ",287,2.87,"287 days shared in 2020"
"1017","NH","NM",89,0.89,"89 days shared in 2020"
"1018","NH","NV",215,2.15,"215 days shared in 2020"
"1019","NH","NY",283,2.83,"283 days shared in 2020"
"1020","NH","OH",260,2.6,"260 days shared in 2020"
"1021","NH","OK",252,2.52,"252 days shared in 2020"
"1022","NH","OR",245,2.45,"245 days shared in 2020"
"1023","NH","PA",110,1.1,"110 days shared in 2020"
"1024","NH","RI",254,2.54,"254 days shared in 2020"
"1025","NH","SC",248,2.48,"248 days shared in 2020"
"1026","NH","SD",1,0.01,"1 days shared in 2020"
"1027","NH","TN",259,2.59,"259 days shared in 2020"
"1028","NH","TX",154,1.54,"154 days shared in 2020"
"1029","NH","UT",245,2.45,"245 days shared in 2020"
